id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
35037688129,1.68511E+12,"{""latitude"":56.073736460838305,""longitude"":14.409185269432315}","{""latitude"":57.37474502108272,""longitude"":14.516943658682072}",20715.95046,,43,50,95.6366773,18835.56075,17345.16997,102.5087324,1.68511E+12,
0383e261b3b,1.68486E+12,"{""latitude"":58.12045296998584,""longitude"":14.237888419679608}","{""latitude"":58.4730329867299,""longitude"":15.340258976581948}",20943.55389,,43,50,25.41190062,9778.490993,9544.639422,25.41394264,1.68486E+12,
4e99c55d8f5,1.68453E+12,"{""latitude"":58.527419734823,""longitude"":14.089702398889122}","{""latitude"":57.12447805469859,""longitude"":13.279487809817692}",21095.18883,,43,50,85.84360682,15460.89224,14444.79247,85.84998385,1.68453E+12,
645fec1d838,1.68493E+12,"{""latitude"":56.980680407538586,""longitude"":13.70691372474015}","{""latitude"":58.02590572015703,""longitude"":13.760909716073629}",21195.02511,,43,50,38.14752817,10824.68285,10489.25601,38.1539052,1.68493E+12,
c77962f5ac2,1.68512E+12,"{""latitude"":59.947674956885905,""longitude"":15.123067137689091}","{""latitude"":59.52479721827113,""longitude"":17.65257859138794}",21230.74773,,43,50,43.84453521,12447.71454,11607.20957,88.18992445,1.68513E+12,
9974ddc0371,1.6851E+12,"{""latitude"":59.52443451575023,""longitude"":13.203313148253251}","{""latitude"":59.26716240631849,""longitude"":15.731904588431401}",21450.40847,,43,50,23.02432298,10720.98047,,,,
0793d765a15,1.68453E+12,"{""latitude"":57.219541000333926,""longitude"":14.973121626798704}","{""latitude"":56.37948906272959,""longitude"":13.25345686103382}",21540.96717,,43,50,49.584238,12448.69662,11186.48657,53.36247723,1.68453E+12,
f996741c723,1.68516E+12,"{""latitude"":58.79807649211569,""longitude"":16.97180003965424}","{""latitude"":57.88123864540306,""longitude"":15.65252262731265}",21541.786,,43,50,19.34766506,9608.889785,9563.895215,21.42062918,1.68516E+12,
25b6fcaf547,1.6851E+12,"{""latitude"":59.72571806332489,""longitude"":14.304837955452355}","{""latitude"":58.151269663432096,""longitude"":13.551885355063744}",21654.32255,,43,50,32.80184789,14496.78812,14281.36143,61.54457137,1.6851E+12,
7cf0d941f8c,1.68449E+12,"{""latitude"":57.270541766636185,""longitude"":12.2050238209794}","{""latitude"":58.784857594028765,""longitude"":12.307911126803631}",21958.2733,,43,50,33.72302336,13100.92021,,,,
fb92f4319b8,1.68509E+12,"{""latitude"":58.109317019690515,""longitude"":16.531616357939342}","{""latitude"":59.306143331519635,""longitude"":14.839536176514663}",22275.84072,,43,50,29.73997831,13780.24166,13780.24166,29.73997831,1.68509E+12,
4ea9325bb07,1.6851E+12,"{""latitude"":59.6668313000621,""longitude"":16.17365098152232}","{""latitude"":58.138192608771746,""longitude"":16.543126699674357}",22512.72563,,43,50,37.90079955,12935.32264,12699.96788,38.31351068,1.6851E+12,
